client_name,age,employ,income,debtinc,creddebt,othdebt,default,kashf_ratib,sijil_tijari,ouqoud,damanat,wathaiq_zoboun,card_brand,card_type,credit_limit,has_chip,card_on_dark_web,MaritalStatus,EducationLevel,EmploymentStatus,HomeOwnershipStatus,BankruptcyHistory
عمر حشاني,26,5,50,9.5,0.2261,2.4339,0,true,true,true,true,true,Mastercard,Debit,$20816,YES,No,Married,Associate,Employed,Rent,0
SPA ElDjazaïr Tech,37,13,50,8.9,0.602352,1.533648,0,true,true,true,true,true,Visa,Debit,$19081,YES,No,Married,Bachelor,Employed,Rent,0
عمر حشاني,41,19,96.0,7.8,2.253888,5.234112,0,true,true,true,true,true,Amex,Credit,$18400,YES,No,Married,Associate,Employed,Other,0
نور الدين عمار,41,16,135.0,4.4,1.2771,4.6629,0,true,true,true,true,true,Visa,Credit,$8000,YES,No,Single,Associate,Employed,Rent,0
عبد الله منصور,32,11,57.0,23.8,5.439966,8.126034,0,true,true,true,true,true,Visa,Credit,$9800,YES,No,Married,Bachelor,Employed,Own,0
سارة حميدي,26,5,50,15.5,0.57474,2.21526,0,true,true,true,true,true,Discover,Credit,$7000,YES,No,Married,Bachelor,Employed,Mortgage,0
نور الدين عمار,43,5,50,7.1,0.751322,1.094678,0,true,true,true,true,true,Visa,Credit,$13900,YES,No,Divorced,Bachelor,Employed,Mortgage,0
عبد الله منصور,41,13,93.0,14.7,9.542358,4.128642,0,true,true,true,true,true,Visa,Debit,$13368,YES,No,Single,Master,Unemployed,Mortgage,0
زينب عماري,30,8,50,20.3,3.743523,1.737477,0,true,true,true,true,true,Mastercard,Debit,$24191,YES,No,Married,Associate,Employed,Rent,0
حسيبة خيذر,33,11,50,15.9,0.506415,5.058585,0,true,true,true,true,true,Visa,Debit,$20858,YES,No,Single,Bachelor,Employed,Mortgage,0
زينب عماري,37,5,50,24.6,1.405398,5.728602,0,true,true,true,true,true,Mastercard,Debit,$23999,YES,No,Divorced,Associate,Employed,Mortgage,0
فاطمة الزهراء,38,21,65.0,16.8,2.53344,8.38656,0,true,true,true,true,true,Mastercard,Credit,$8400,YES,No,Widowed,Bachelor,Employed,Mortgage,0
يوسف قادري,47,9,52.0,20.1,2.539836,7.912164,0,true,true,true,true,true,Visa,Debit,$22701,YES,No,Married,Associate,Self-Employed,Own,0
زينب عماري,29,5,50,2.5,0.13175,0.29325,0,true,true,true,true,true,Visa,Credit,$1500,YES,No,Married,Bachelor,Employed,Other,0
طارق بلعيد,35,10,50,1.3,0.109928,0.254072,0,true,true,true,true,true,Mastercard,Debit,$28877,YES,No,Married,Bachelor,Employed,Mortgage,0
زينب عماري,35,17,50,3,0.09324,1.16676,0,true,true,true,true,true,Mastercard,Debit,$37192,YES,No,Married,Associate,Employed,Own,0
حسيبة خيذر,43,16,89.0,0.4,0.159488,0.196512,0,true,true,true,true,true,Mastercard,Debit,$14699,YES,No,Single,Associate,Employed,Own,0
SPA ElDjazaïr Tech,37,19,50,13.5,2.59065,2.53935,0,true,true,true,true,true,Visa,Debit,$21692,YES,No,Married,High School,Employed,Mortgage,0
سارة حميدي,38,5,50,3.7,0.311725,0.613275,0,true,true,true,true,true,Visa,Credit,$25300,YES,No,Divorced,Bachelor,Self-Employed,Other,0
SNC Tlemcen Immo,30,8,56.0,6.4,0.333312,3.250688,0,true,true,true,true,true,Mastercard,Debit,$51951,YES,No,Single,Bachelor,Employed,Mortgage,0
حسيبة خيذر,32,13,50,7.5,0.59625,1.27875,0,true,true,true,true,true,Amex,Credit,$24400,YES,No,Single,High School,Employed,Own,0
SARL ConstantinePro,29,6,50,4.2,0.58485,0.46515,0,true,true,true,true,true,Visa,Debit,$42541,YES,No,Married,Associate,Self-Employed,Mortgage,0
محمد بن سالم,38,5,50,8.1,0.897966,0.965034,0,true,true,true,true,true,Visa,Debit,$1000,YES,No,Married,Associate,Employed,Rent,0
SARL ConstantinePro,25,5,50,7.7,1.529528,0.472472,0,true,true,true,true,true,Visa,Credit,$14600,YES,No,Widowed,High School,Employed,Mortgage,0
سارة حميدي,29,13,50,2.3,0.068931,0.552069,0,true,true,true,true,true,Visa,Credit,$13200,YES,No,Married,High School,Employed,Mortgage,0
طارق بلعيد,42,21,121.0,3.1,1.365364,2.385636,0,true,true,true,true,true,Mastercard,Debit,$7834,YES,No,Divorced,Bachelor,Employed,Mortgage,0
علي بوعلام,33,16,50,8.1,2.399544,1.326456,0,true,true,true,true,true,Visa,Debit,$20827,YES,No,Single,Bachelor,Employed,Mortgage,0
أحمد طاهر,31,11,50,4.8,0.345408,0.998592,0,true,true,true,true,true,Mastercard,Debit,$3106,YES,No,Single,High School,Employed,Rent,0
