Client_ID,Nom,Prenom,Type_Client,Statut_Client,Type_Compte,Age,Wilaya,Secteur_Activite,Type_Credit,Anciennete_Client_Ans,Revenu_Mensuel_DZD,Charges_Mensuelles_DZD,Montant_Credit_DZD,Echeance_Mensuelle_DZD,Duree_Credit_Mois,Taux_Interet_Pct,Utilisation_Credit_Pct,Historique_Paiement,Retards_30J,Retards_90J,Jours_Impayes,Decouvert_90J,Volatilite_Cashflow_Pct,Solde_Moyen_DZD,Garantie_Couverture_Pct
BNA000011,Khelifi,Karim,PME,Actif,Compte courant,44,Alger,Services,Crédit personnel,8.0,945600.0,216900.0,7431000.0,168300.0,48,4.16,14.1,1.0,1,0,0,0,27.1,1619100.0,107.1
BNA000012,Haddad,Samir,PME,Actif,Compte professionnel,28,Laghouat,Commerce,Crédit personnel,3.0,641800.0,320700.0,4411000.0,70500.0,72,4.75,80.5,0.371,2,1,30,2,60.1,-1166100.0,59.8
BNA000013,Benyahia,Kamel,Grande Entreprise,Actif,Compte professionnel,61,Batna,BTPH,Crédit d'exploitation,4.7,1555700.0,366000.0,11641000.0,525200.0,24,7.76,25.5,0.772,1,0,0,0,31.4,5680900.0,139.0
BNA000014,Brahimi,Ahmed,PME,Inactif,Compte courant,43,Tlemcen,Transport,Crédit équipement,4.5,900100.0,296700.0,3757000.0,119300.0,36,8.93,74.9,0.692,4,2,60,5,54.2,29300.0,36.5
BNA000015,Khelifi,Adel,Particulier,Actif,Compte courant,44,Biskra,Transport,Crédit d'exploitation,12.3,46400.0,15000.0,565000.0,11000.0,60,6.3,24.5,0.917,0,0,0,0,26.4,168700.0,82.9
BNA000016,Rahmani,Ibrahim,Professionnel,Actif,Compte courant,47,Blida,Agriculture,Crédit d'exploitation,13.9,73600.0,57500.0,1223000.0,17200.0,84,4.81,69.6,0.611,3,0,45,1,52.0,92100.0,34.2
BNA000017,Mokhtar,Amine,PME,Actif,Compte entreprise,56,Batna,Pharmacie,Crédit équipement,4.9,810800.0,149500.0,5090000.0,151100.0,36,4.38,25.3,0.694,0,0,0,0,36.6,2860900.0,101.0
BNA000018,Yahiaoui,Karim,Particulier,Actif,Compte épargne,27,Blida,Transport,Crédit personnel,6.9,106300.0,15000.0,1409000.0,19500.0,84,4.41,10.3,0.957,0,0,0,0,21.9,-131200.0,140.5
BNA000019,Mokhtar,Riad,Particulier,Actif,Compte épargne,45,Béjaïa,Santé,Crédit d'investissement,3.8,101000.0,70600.0,759000.0,23100.0,36,5.93,70.4,0.504,1,1,90,1,65.4,-15700.0,53.5
BNA000020,Guediri,Riad,Particulier,Actif,Compte courant,28,Annaba,Santé,Crédit équipement,2.2,66600.0,50200.0,545000.0,9500.0,72,7.83,82.0,0.547,0,1,60,3,38.3,36300.0,30.6
BNA000021,Slimani,Walid,Particulier,Actif,Compte courant,62,Laghouat,Commerce,Crédit d'investissement,10.6,70500.0,17800.0,247000.0,5800.0,48,5.65,2.0,0.901,0,0,0,1,13.7,155200.0,61.0
BNA000022,Belkacem,Aymen,Grande Entreprise,Actif,Compte courant,63,Béjaïa,Services,Crédit d'exploitation,8.1,3138600.0,1804900.0,19649000.0,321800.0,72,5.58,96.1,0.392,5,2,30,4,43.7,4635500.0,106.0
BNA000023,Cherif,Bilal,PME,Actif,Compte courant,38,Constantine,Industrie,Crédit d'investissement,6.2,1311000.0,741100.0,9339000.0,212400.0,48,4.36,75.2,0.421,1,0,60,2,37.4,12800.0,62.4
BNA000024,Larbi,Youcef,Particulier,Actif,Compte professionnel,34,Alger,Industrie,Crédit équipement,18.5,94400.0,77400.0,427000.0,9800.0,48,5.01,64.3,0.499,2,0,120,3,35.9,-31400.0,43.9
BNA000025,Meziane,Walid,PME,Inactif,Compte professionnel,54,Oran,Commerce,Crédit d'investissement,3.7,1181500.0,442900.0,4108000.0,94600.0,48,5.02,42.2,0.844,0,0,0,0,27.6,5579400.0,119.6
BNA000026,Touati,Farid,Particulier,Actif,Compte courant,49,Béjaïa,Commerce,Crédit équipement,10.4,63600.0,44700.0,379000.0,17000.0,24,7.29,71.3,0.108,2,1,120,0,77.1,-19900.0,63.2
BNA000027,Touati,Ahmed,Professionnel,Actif,Compte professionnel,26,Constantine,Agriculture,Crédit d'exploitation,12.3,92100.0,34700.0,1307000.0,22000.0,84,10.48,68.3,0.519,0,1,150,0,21.0,211600.0,68.3
BNA000028,Benyahia,Farid,Particulier,Actif,Compte courant,31,Blida,BTPH,Crédit équipement,12.9,101400.0,52300.0,844000.0,15800.0,72,10.48,72.2,0.171,1,0,45,3,62.9,133300.0,102.1
BNA000029,Bensalem,Tarek,Professionnel,Actif,Compte professionnel,45,Batna,Agriculture,Crédit d'exploitation,6.4,255600.0,39300.0,2159000.0,34300.0,84,8.65,39.3,0.681,0,0,0,0,22.0,73600.0,98.4
BNA000030,Benyahia,Karim,Particulier,Actif,Compte épargne,42,Alger,Commerce,Crédit immobilier,4.6,117000.0,76400.0,1647000.0,34700.0,60,9.64,45.0,0.109,0,1,120,1,54.0,149800.0,101.7
BNA000031,Cherif,Kamel,Particulier,Actif,Compte courant,50,Laghouat,Transport,Crédit équipement,10.6,139600.0,48300.0,1791000.0,32700.0,72,9.45,15.8,0.93,0,0,0,0,4.0,168100.0,76.6
BNA000032,Boudiaf,Anis,Professionnel,Actif,Compte courant,25,Biskra,Santé,Crédit immobilier,2.5,281600.0,35500.0,1266000.0,31900.0,48,9.6,45.6,0.738,0,0,0,0,35.5,551600.0,116.5
BNA000033,Nouri,Amine,Particulier,Actif,Compte épargne,39,Biskra,Santé,Crédit personnel,16.7,166200.0,105300.0,1331000.0,26400.0,60,7.08,72.2,0.13,3,0,60,0,46.8,84800.0,51.5
BNA000034,Benyahia,Nassim,Particulier,Actif,Compte courant,61,Laghouat,BTPH,Crédit immobilier,5.7,150300.0,55200.0,1088000.0,27400.0,48,9.68,53.1,0.794,0,0,0,0,22.2,671500.0,114.4
BNA000035,Mebarki,Aymen,Professionnel,Actif,Compte courant,24,Oran,Transport,Crédit d'investissement,2.4,103700.0,74400.0,3023000.0,64100.0,60,9.93,77.0,0.578,0,0,45,2,28.0,71000.0,30.8
BNA000036,Nouri,Yacine,PME,Actif,Compte courant,46,Béjaïa,Agriculture,Crédit d'exploitation,4.1,775300.0,144800.0,3855000.0,55200.0,84,5.39,4.2,0.421,1,0,15,0,15.2,1679600.0,122.3
BNA000037,Belaid,Amine,Particulier,Actif,Compte courant,29,Annaba,Agriculture,Crédit équipement,6.1,86600.0,15000.0,501000.0,9400.0,60,4.83,53.2,0.89,0,0,0,0,30.0,41000.0,145.7
BNA000038,Saidi,Rachid,Professionnel,Suspendu,Compte courant,57,Béjaïa,Agriculture,Crédit d'exploitation,12.3,161400.0,118300.0,3401000.0,101800.0,36,4.91,43.0,0.125,2,2,30,3,44.9,-167100.0,44.7
BNA000039,Yahiaoui,Kamel,PME,Actif,Compte courant,39,Biskra,Transport,Crédit d'investissement,2.2,598100.0,77300.0,3646000.0,69000.0,60,5.09,30.8,0.922,2,1,0,0,10.8,1065500.0,200.0
BNA000040,Boudiaf,Farid,Particulier,Actif,Compte professionnel,56,Oran,BTPH,Crédit personnel,9.4,72300.0,41400.0,514000.0,23700.0,24,10.04,74.7,0.601,0,0,60,2,60.7,71700.0,50.4
BNA000041,Yahiaoui,Rachid,Professionnel,Actif,Compte courant,30,Blida,Industrie,Crédit immobilier,2.2,123500.0,71900.0,1005000.0,30900.0,36,6.7,62.6,0.542,1,2,10,1,21.2,-234900.0,73.8
BNA000042,Cherif,Walid,Particulier,Actif,Compte courant,37,Batna,Commerce,Crédit immobilier,1.2,102500.0,42600.0,1349000.0,60100.0,24,6.58,92.7,0.051,1,0,90,1,45.5,84300.0,95.9
BNA000043,Hadji,Oussama,Particulier,Actif,Compte entreprise,59,Alger,Services,Crédit d'investissement,5.4,86400.0,51300.0,475000.0,11200.0,48,6.06,94.9,0.758,2,0,15,1,25.3,137100.0,70.8
BNA000044,Mokhtar,Islam,Particulier,Actif,Compte épargne,43,Batna,Commerce,Crédit immobilier,13.6,62700.0,36900.0,416000.0,8400.0,60,7.76,60.6,0.511,3,1,180,0,30.9,-10400.0,84.0
BNA000045,Ferhat,Imad,Particulier,Actif,Compte professionnel,47,Oran,Commerce,Crédit d'investissement,13.6,77900.0,43500.0,548000.0,12800.0,48,5.69,76.6,0.257,5,0,5,0,45.2,-11000.0,12.2
BNA000046,Haddad,Zakaria,Particulier,Actif,Compte épargne,28,Tlemcen,Industrie,Crédit d'exploitation,6.4,125700.0,67600.0,1198000.0,19000.0,72,4.49,76.8,0.633,5,1,30,3,58.8,164800.0,69.8
BNA000047,Chibani,Youcef,Particulier,Actif,Compte épargne,53,Annaba,Commerce,Crédit immobilier,6.0,86200.0,59500.0,464000.0,9800.0,60,9.73,60.1,0.597,2,0,30,1,32.3,-10000.0,50.2
BNA000048,Djelloul,Adel,Particulier,Inactif,Compte entreprise,25,Biskra,BTPH,Crédit d'exploitation,10.6,113200.0,70100.0,2779000.0,51600.0,72,10.11,51.6,0.35,2,1,60,2,55.0,131900.0,87.8
BNA000049,Belaid,Ilyes,Particulier,Actif,Compte épargne,62,Alger,Pharmacie,Crédit personnel,9.5,35000.0,15000.0,417000.0,8700.0,60,9.3,76.0,0.586,0,1,30,1,21.0,-34700.0,70.6
BNA000050,Dahmani,Ahmed,Particulier,Actif,Compte professionnel,40,Laghouat,Pharmacie,Crédit équipement,4.3,87000.0,48100.0,565000.0,10800.0,60,5.34,99.7,0.644,4,2,15,3,54.4,-32600.0,86.3
BNA000051,Larbi,Yacine,Particulier,Actif,Compte épargne,23,Batna,Industrie,Crédit d'investissement,14.5,87900.0,22400.0,1006000.0,31100.0,36,7.12,41.5,0.846,0,0,0,0,18.3,304500.0,43.2
BNA000052,Belkacem,Adel,Particulier,Inactif,Compte entreprise,61,Batna,Transport,Crédit d'investissement,7.3,150800.0,33200.0,1185000.0,36700.0,36,7.19,9.6,0.826,1,0,15,0,19.3,128600.0,110.5
BNA000053,Brahimi,Ibrahim,Grande Entreprise,Actif,Compte entreprise,41,Djelfa,Industrie,Crédit immobilier,2.8,1500400.0,979700.0,9265000.0,140400.0,84,7.12,94.3,0.359,1,0,5,1,61.1,888100.0,78.6
BNA000054,Belkacem,Amine,Particulier,Actif,Compte courant,25,Blida,BTPH,Crédit d'exploitation,8.1,126400.0,71600.0,376000.0,11600.0,36,6.83,83.7,0.336,2,1,30,6,57.0,180800.0,73.9
BNA000055,Amrani,Imad,Particulier,Actif,Compte courant,23,Blida,Agriculture,Crédit immobilier,11.1,65700.0,45400.0,528000.0,10700.0,60,7.82,71.9,0.5,1,1,10,2,48.8,68700.0,68.2
BNA000056,Mebarki,Samir,Particulier,Actif,Compte professionnel,27,Biskra,Santé,Crédit immobilier,4.5,258500.0,169500.0,3025000.0,48400.0,84,8.82,70.0,0.486,1,0,5,3,58.0,275900.0,76.6
BNA000057,Djelloul,Yacine,Particulier,Actif,Compte épargne,45,Laghouat,Agriculture,Crédit d'investissement,15.0,91100.0,55300.0,481000.0,8700.0,60,3.16,73.1,0.223,1,2,15,0,41.0,-46800.0,127.3
BNA000058,Dahmani,Amine,PME,Actif,Compte entreprise,53,Blida,Transport,Crédit d'exploitation,5.6,768800.0,184700.0,6648000.0,151900.0,48,4.61,2.0,1.0,0,0,0,1,19.6,2440200.0,107.1
BNA000059,Saidi,Nassim,Particulier,Actif,Compte entreprise,49,Sétif,Santé,Crédit personnel,8.8,141900.0,49400.0,923000.0,22600.0,48,8.04,15.5,0.737,1,0,0,0,25.1,-100400.0,100.2
BNA000060,Rahmani,Abdelkader,Professionnel,Actif,Compte courant,62,Annaba,Commerce,Crédit d'investissement,3.9,111600.0,27500.0,1804000.0,36000.0,60,7.28,17.1,0.724,0,0,0,0,12.4,77700.0,154.0
BNA000061,Ferhat,Oussama,Particulier,Actif,Compte courant,57,Batna,Industrie,Crédit équipement,8.9,117500.0,95500.0,1489000.0,44700.0,36,5.17,97.0,0.673,1,0,60,7,53.9,151100.0,94.5
BNA000062,Chibani,Abdelkader,PME,Actif,Compte courant,41,Annaba,BTPH,Crédit d'investissement,7.8,525500.0,287700.0,3831000.0,111900.0,36,3.29,90.2,0.398,1,3,180,1,49.5,530900.0,49.1
BNA000063,Brahimi,Samir,PME,Inactif,Compte épargne,32,Sétif,Commerce,Crédit personnel,1.6,730700.0,466900.0,7091000.0,165500.0,48,5.69,98.4,0.251,0,2,5,2,51.5,1452100.0,14.3
BNA000064,Bensalem,Tarek,Particulier,Actif,Compte épargne,62,Blida,Pharmacie,Crédit d'exploitation,6.6,67800.0,15000.0,398000.0,12900.0,36,10.38,22.7,0.944,1,0,0,0,23.2,239500.0,105.7
BNA000065,Slimani,Yacine,Particulier,Actif,Compte entreprise,61,Laghouat,Industrie,Crédit immobilier,14.3,68700.0,40700.0,895000.0,22500.0,48,9.59,66.9,0.302,10,2,30,3,38.1,46500.0,47.1
BNA000066,Khelifi,Ilyes,Particulier,Actif,Compte courant,45,Biskra,Pharmacie,Crédit d'investissement,5.7,145900.0,99200.0,896000.0,28600.0,36,9.3,69.7,0.542,3,1,90,0,51.3,27100.0,83.5
BNA000067,Mansouri,Anis,Professionnel,Actif,Compte courant,36,Laghouat,Industrie,Crédit d'investissement,8.1,109700.0,75800.0,972000.0,15400.0,72,4.48,71.6,0.582,7,4,15,3,31.0,-184800.0,68.8
BNA000068,Ferhat,Walid,Grande Entreprise,Actif,Compte épargne,35,Tlemcen,BTPH,Crédit d'exploitation,14.5,2102600.0,1260800.0,21725000.0,511500.0,48,6.13,83.9,0.234,2,0,60,2,38.4,1853700.0,101.9
BNA000069,Yahiaoui,Ahmed,Professionnel,Actif,Compte entreprise,54,Laghouat,Santé,Crédit personnel,7.9,234400.0,137300.0,2819000.0,53400.0,60,5.18,77.2,0.672,1,0,60,1,44.2,7800.0,90.3
BNA000070,Belaid,Adel,Particulier,Actif,Compte entreprise,48,Djelfa,Commerce,Crédit d'exploitation,4.5,129300.0,64700.0,932000.0,16100.0,72,7.54,80.2,0.684,0,1,30,1,45.2,-12800.0,104.2
BNA000071,Hadji,Ahmed,PME,Inactif,Compte professionnel,49,Blida,Commerce,Crédit personnel,8.6,1269200.0,852600.0,8063000.0,150500.0,60,4.54,100.0,0.05,4,1,5,2,43.4,-1419800.0,136.8
BNA000072,Djelloul,Sofiane,Professionnel,Actif,Compte épargne,49,Sétif,Services,Crédit équipement,7.4,80000.0,20200.0,533000.0,45400.0,12,4.22,3.8,0.72,0,0,0,0,28.9,217900.0,128.0
BNA000073,Gacem,Yacine,Particulier,Actif,Compte courant,56,Djelfa,Agriculture,Crédit d'investissement,2.3,133500.0,58000.0,2090000.0,43000.0,60,8.62,91.1,0.163,1,2,60,1,56.4,-20300.0,52.7
BNA000074,Mebarki,Nassim,PME,Actif,Compte épargne,37,Tlemcen,BTPH,Crédit personnel,1.2,1129000.0,516800.0,17276000.0,338400.0,60,6.55,94.1,0.748,0,0,60,2,45.3,-816800.0,47.4
BNA000075,Cherif,Islam,Professionnel,Actif,Compte épargne,27,Djelfa,Agriculture,Crédit d'exploitation,19.9,367600.0,53800.0,4865000.0,120300.0,48,8.65,32.8,0.829,1,0,0,0,27.6,1174300.0,80.8
BNA000076,Hadji,Kamel,Particulier,Actif,Compte courant,31,Annaba,Industrie,Crédit équipement,7.4,129300.0,96000.0,754000.0,14200.0,60,4.91,36.8,0.369,3,0,30,1,48.5,-98400.0,54.3
BNA000077,Mansouri,Sofiane,Particulier,Actif,Compte courant,26,Batna,Pharmacie,Crédit personnel,2.9,233900.0,143400.0,1459000.0,35800.0,48,8.28,92.1,0.752,2,0,15,3,42.3,276800.0,69.2
BNA000078,Zerrouki,Adel,PME,Actif,Compte épargne,28,Batna,Pharmacie,Crédit immobilier,12.5,472000.0,358400.0,3212000.0,62100.0,60,5.98,68.3,0.838,2,0,90,4,31.2,49600.0,77.5
BNA000079,Amrani,Zakaria,Particulier,Actif,Compte professionnel,50,Oran,Services,Crédit d'investissement,2.3,52000.0,15000.0,455000.0,13800.0,36,5.6,26.6,0.572,0,0,0,0,4.0,37700.0,84.2
BNA000080,Zerrouki,Mohamed,Particulier,Actif,Compte courant,25,Djelfa,Pharmacie,Crédit d'investissement,8.6,67600.0,19100.0,484000.0,11600.0,48,7.13,8.3,0.704,1,0,0,0,33.9,92500.0,146.9
BNA000081,Mansouri,Ibrahim,Particulier,Actif,Compte courant,30,Batna,BTPH,Crédit d'exploitation,6.1,132100.0,59900.0,1788000.0,54700.0,36,6.43,85.5,0.388,2,0,60,2,63.8,-25500.0,37.4
BNA000082,Slimani,Sofiane,PME,Actif,Compte entreprise,29,Annaba,Commerce,Crédit immobilier,3.1,665000.0,483300.0,3377000.0,68900.0,60,8.24,66.7,0.576,0,0,10,0,51.1,-33700.0,49.2
BNA000083,Hadji,Kamel,Particulier,Actif,Compte professionnel,27,Tlemcen,BTPH,Crédit d'investissement,3.7,64400.0,36300.0,507000.0,10100.0,60,7.33,77.1,0.926,0,0,15,3,29.0,-23400.0,77.0
BNA000084,Benali,Karim,PME,Actif,Compte épargne,41,Oran,Santé,Crédit immobilier,3.8,1351300.0,667400.0,9803000.0,287800.0,36,3.62,88.5,0.25,4,1,30,3,21.2,494200.0,93.2
BNA000085,Amrani,Riad,Particulier,Actif,Compte entreprise,58,Djelfa,Santé,Crédit d'exploitation,2.9,186600.0,110000.0,2119000.0,68800.0,36,10.39,76.4,0.567,1,0,120,1,46.8,-230200.0,115.6
BNA000086,Bensalem,Salim,Particulier,Actif,Compte courant,64,Annaba,Pharmacie,Crédit personnel,8.3,56300.0,22400.0,263000.0,8500.0,36,10.5,29.8,0.225,4,0,5,0,22.5,3100.0,105.7
BNA000087,Bensalem,Imad,Professionnel,Actif,Compte courant,47,Oran,Transport,Crédit d'investissement,7.2,370900.0,171500.0,5946000.0,123200.0,60,8.91,77.2,0.223,3,3,90,2,47.6,124700.0,53.0
BNA000088,Mokhtar,Ilyes,Particulier,Actif,Compte courant,44,Biskra,Transport,Crédit personnel,15.1,122400.0,53900.0,1927000.0,31400.0,72,5.39,69.1,0.457,2,1,5,0,43.9,-196600.0,70.6
BNA000089,Khelifi,Nabil,PME,Actif,Compte entreprise,57,Batna,Services,Crédit immobilier,11.3,521300.0,371800.0,7641000.0,648200.0,12,3.31,75.0,0.128,1,0,0,3,26.0,742900.0,68.0
BNA000090,Haddad,Mohamed,Particulier,Actif,Compte épargne,65,Djelfa,Commerce,Crédit d'investissement,5.8,56600.0,44200.0,652000.0,12100.0,60,4.22,67.1,0.534,3,2,90,0,43.2,50600.0,62.0
BNA000091,Mokhtar,Rachid,PME,Inactif,Compte courant,35,Constantine,Transport,Crédit d'investissement,2.4,247700.0,156000.0,2831000.0,55200.0,60,6.34,77.2,0.55,2,1,15,2,45.8,159000.0,125.7
BNA000092,Hadji,Riad,PME,Actif,Compte courant,35,Constantine,Agriculture,Crédit d'investissement,5.9,580000.0,279400.0,8044000.0,157500.0,60,6.52,56.9,0.391,2,0,180,4,18.4,644600.0,40.9
BNA000093,Meziane,Ahmed,PME,Actif,Compte courant,39,Oran,Santé,Crédit personnel,3.6,772800.0,358600.0,7844000.0,252800.0,36,9.92,91.5,0.324,0,1,10,1,48.0,-233400.0,79.1
BNA000094,Boudiaf,Rachid,PME,Actif,Compte courant,41,Constantine,BTPH,Crédit d'investissement,10.6,1077000.0,129900.0,8977000.0,275400.0,36,6.58,24.5,0.78,0,1,0,1,22.6,-353700.0,87.9
BNA000095,Boudiaf,Sofiane,Particulier,Actif,Compte courant,61,Biskra,Commerce,Crédit immobilier,6.0,127100.0,87800.0,965000.0,19300.0,60,7.43,87.3,0.533,1,0,10,5,48.8,51300.0,61.0
BNA000096,Mansouri,Kamel,PME,Actif,Compte épargne,47,Constantine,Pharmacie,Crédit d'exploitation,10.3,634400.0,277100.0,4446000.0,140100.0,36,8.4,62.9,0.538,2,0,90,2,31.0,132800.0,58.9
BNA000097,Benyahia,Ibrahim,Particulier,Actif,Compte entreprise,59,Constantine,BTPH,Crédit immobilier,13.4,49900.0,15700.0,260000.0,7700.0,36,3.9,32.5,0.641,0,0,0,0,25.0,54100.0,93.4
BNA000098,Saidi,Mohamed,Professionnel,Actif,Compte courant,65,Biskra,Agriculture,Crédit d'investissement,2.7,211700.0,98000.0,1063000.0,32800.0,36,6.92,65.0,0.227,4,1,60,3,47.8,270900.0,49.1
BNA000099,Dahmani,Nabil,Professionnel,Actif,Compte courant,23,Oran,Pharmacie,Crédit immobilier,11.7,252200.0,117300.0,3268000.0,68800.0,60,9.59,71.6,0.173,0,0,90,0,68.2,-341000.0,80.8
BNA000100,Mansouri,Amine,Particulier,Actif,Compte courant,38,Batna,Agriculture,Crédit d'investissement,4.7,62800.0,35900.0,285000.0,4500.0,84,8.73,88.8,0.304,3,0,150,1,53.2,146800.0,66.1
BNA000101,Bensalem,Farid,PME,Actif,Compte courant,28,Laghouat,Transport,Crédit équipement,2.5,442200.0,198100.0,1996000.0,169600.0,12,3.63,78.0,0.689,4,1,45,3,58.1,91000.0,67.0
BNA000102,Hadji,Ibrahim,Particulier,Actif,Compte courant,43,Laghouat,Santé,Crédit d'investissement,16.0,70900.0,44300.0,725000.0,10000.0,84,4.36,82.0,0.536,0,2,10,2,30.6,-17400.0,87.4
BNA000103,Hadji,Ibrahim,Grande Entreprise,Actif,Compte courant,30,Béjaïa,Transport,Crédit personnel,14.9,1469500.0,631900.0,9413000.0,136800.0,84,5.84,90.1,0.15,0,1,45,4,42.4,630500.0,69.5
BNA000104,Chibani,Riad,Professionnel,Actif,Compte entreprise,29,Constantine,BTPH,Crédit personnel,2.4,360100.0,102300.0,3440000.0,85600.0,48,9.02,39.4,0.855,0,0,0,1,13.8,387400.0,60.2
BNA000105,Meziane,Sofiane,Particulier,Actif,Compte entreprise,60,Blida,Transport,Crédit personnel,8.2,35000.0,15000.0,554000.0,8300.0,84,6.71,72.6,0.436,1,0,15,1,51.7,7100.0,104.4
BNA000106,Mansouri,Bilal,Particulier,Actif,Compte courant,62,Djelfa,BTPH,Crédit d'exploitation,3.2,93800.0,47400.0,663000.0,9300.0,84,4.92,83.6,0.113,4,0,45,3,52.7,-32100.0,104.9
BNA000107,Brahimi,Salim,Particulier,Actif,Compte courant,49,Blida,Transport,Crédit d'exploitation,11.0,127600.0,83700.0,861000.0,26100.0,36,5.64,85.1,0.155,0,3,90,1,31.6,109500.0,70.1
BNA000108,Amrani,Mourad,Particulier,Actif,Compte courant,56,Constantine,Industrie,Crédit immobilier,10.6,184500.0,110300.0,1070000.0,19800.0,72,9.97,75.1,0.836,1,0,60,3,39.9,128900.0,39.3
BNA000109,Slimani,Kamel,Particulier,Actif,Compte professionnel,43,Annaba,Santé,Crédit équipement,5.9,82700.0,50700.0,1046000.0,24800.0,48,6.53,79.5,0.743,3,1,60,0,53.2,145700.0,70.0
BNA000110,Yahiaoui,Mourad,Particulier,Actif,Compte courant,57,Biskra,Santé,Crédit d'exploitation,2.0,61400.0,30600.0,678000.0,31100.0,24,9.49,64.0,0.529,5,3,30,3,15.3,8000.0,100.6
BNA000111,Saidi,Anis,Particulier,Actif,Compte entreprise,45,Sétif,Agriculture,Crédit d'exploitation,9.4,65900.0,35500.0,679000.0,9900.0,84,6.03,85.8,0.25,2,0,10,2,25.3,-29200.0,89.4
BNA000112,Khelifi,Adel,Particulier,Actif,Compte courant,35,Laghouat,Agriculture,Crédit personnel,9.8,66000.0,15000.0,364000.0,8700.0,48,6.67,21.2,0.899,0,0,0,0,4.0,165300.0,132.2
BNA000113,Mebarki,Yacine,Particulier,Actif,Compte professionnel,41,Oran,Pharmacie,Crédit personnel,2.5,35000.0,15200.0,319000.0,27500.0,12,6.25,39.1,0.378,4,0,0,1,44.9,-9600.0,81.4
BNA000114,Benyahia,Sofiane,Professionnel,Actif,Compte entreprise,32,Biskra,Services,Crédit d'exploitation,5.8,220600.0,51500.0,2782000.0,42600.0,72,3.29,21.4,0.608,1,0,0,0,23.8,692400.0,141.0
BNA000115,Larbi,Amine,PME,Actif,Compte entreprise,63,Batna,Pharmacie,Crédit personnel,2.3,868500.0,495400.0,8172000.0,148500.0,60,3.46,87.8,0.329,8,1,45,1,29.2,-187600.0,74.8
BNA000116,Brahimi,Abdelkader,Particulier,Actif,Compte épargne,52,Sétif,BTPH,Crédit immobilier,6.5,271100.0,148500.0,1687000.0,26700.0,72,4.37,79.1,0.296,1,1,30,1,21.4,-68300.0,78.3
BNA000117,Haddad,Sofiane,Particulier,Actif,Compte professionnel,34,Tlemcen,Transport,Crédit immobilier,3.9,59700.0,36400.0,693000.0,21700.0,36,7.8,83.9,0.71,5,1,45,2,52.7,167600.0,30.3
BNA000118,Djelloul,Tarek,Professionnel,Actif,Compte entreprise,59,Laghouat,Industrie,Crédit d'exploitation,10.7,179000.0,108000.0,1783000.0,38200.0,60,10.37,80.5,0.428,0,0,90,1,46.6,-285900.0,61.3
